Ordem,Timestamp,Valor,Saldo,Sinal,Saldo_norm,Valor_norm
Buy,2018-09-20 03:00:00,6397.29,1000.0,Sinal: Compra,1000.0,1000.0
Hold,2018-09-20 04:00:00,6391.36,997.075897975549,Hold,997.075897975549,999.0730449924889
Hold,2018-09-20 05:00:00,6389.05,996.7155293960412,Hold,996.7155293960412,998.7119545932732
Hold,2018-09-20 06:00:00,6399.91,998.4097297308705,Hold,998.4097297308705,1000.4095484181584
Hold,2018-09-20 07:00:00,6411.0,1000.1398109199365,Hold,1000.1398109199366,1002.1430949667752
Hold,2018-09-20 08:00:00,6387.98,996.5486054219833,Hold,996.5486054219836,998.5446962698268
Hold,2018-09-20 09:00:00,6387.0,996.3957217821921,Hold,996.3957217821924,998.3915064034927
Hold,2018-09-20 10:00:00,6415.0,1000.7638257762271,Hold,1000.7638257762275,1002.768359727322
Hold,2018-09-20 11:00:00,6427.88,1002.7731536134833,Hold,1002.7731536134836,1004.7817122562834
Hold,2018-09-20 12:00:00,6425.0,1002.323862916954,Hold,1002.3238629169545,1004.3315216286894
Hold,2018-09-20 13:00:00,6422.0,1001.8558517747359,Hold,1001.8558517747363,1003.862573058279
Hold,2018-09-20 14:00:00,6415.01,1000.765385813368,Hold,1000.7653858133683,1002.769922889223
Hold,2018-09-20 15:00:00,6417.92,1001.2193566213194,Hold,1001.2193566213199,1003.2248030025211
Hold,2018-09-20 16:00:00,6421.99,1001.8542917375952,Hold,1001.8542917375956,1003.8610098963776
Hold,2018-09-20 17:00:00,6400.51,998.5033319593141,Hold,998.5033319593147,1000.5033381322402
Hold,2018-09-20 18:00:00,6407.0,999.5157960636458,Hold,999.5157960636463,1001.5178302062277
Hold,2018-09-20 19:00:00,6420.01,1001.5454043837314,Hold,1001.5454043837319,1003.551503839907
Hold,2018-09-20 20:00:00,6378.47,995.0650101011523,Hold,995.0650101011529,997.058129301626
Hold,2018-09-20 21:00:00,6490.06,1012.4734645545225,Hold,1012.4734645545233,1014.5014529589871
Hold,2018-09-20 22:00:00,6531.29,1018.9054976857389,Hold,1018.9054976857394,1020.9463694783259
Hold,2018-09-20 23:00:00,6492.0,1012.7761117598233,Hold,1012.776111759824,1014.8047063678524
Hold,2018-09-21 00:00:00,6516.48,1016.5950826803225,Hold,1016.5950826803233,1018.6313267024003
Hold,2018-09-21 01:00:00,6502.01,1014.3377089376909,Hold,1014.3377089376917,1016.3694314311216
Hold,2018-09-21 02:00:00,6555.67,1022.7088682348308,Hold,1022.7088682348318,1024.75735819386
Hold,2018-09-21 03:00:00,6554.7,1022.5575446321802,Hold,1022.5575446321812,1024.6057314894272
Hold,2018-09-21 04:00:00,6548.06,1021.5216799707378,Hold,1021.5216799707388,1023.5677919869192
Hold,2018-09-21 05:00:00,6535.85,1019.6168746219104,Hold,1019.6168746219114,1021.6591713053493
Hold,2018-09-21 06:00:00,6550.07,1021.8352474360237,Hold,1021.8352474360248,1023.8819875290941
Hold,2018-09-21 07:00:00,6647.91,1037.0986508208946,Hold,1037.098650820896,1039.1759635720748
Hold,2018-09-21 08:00:00,6701.33,1045.432369226657,Hold,1045.4323692266582,1047.5263744491806
Hold,2018-09-21 09:00:00,6706.01,1046.162466608517,Hold,1046.1624666085181,1048.2579342190206
Hold,2018-09-21 10:00:00,6694.89,1044.427705308029,Hold,1044.4277053080302,1046.5196981846998
Hold,2018-09-21 11:00:00,6742.23,1051.8129211322293,Hold,1051.8129211322305,1053.9197066257739
Hold,2018-09-21 12:00:00,6732.02,1050.2201232115476,Hold,1050.2201232115488,1052.3237183244778
Hold,2018-09-21 13:00:00,6727.83,1049.5664676495828,Hold,1049.566467649584,1051.6687534878047
Hold,2018-09-21 14:00:00,6721.59,1048.5930044737695,Hold,1048.5930044737706,1050.6933404613512
Hold,2018-09-21 15:00:00,6681.65,1042.3622161337066,Hold,1042.3622161337075,1044.4500718272889
Hold,2018-09-21 16:00:00,6717.23,1047.9128282804124,Hold,1047.9128282804136,1050.0118018723547
Hold,2018-09-21 17:00:00,6703.34,1045.745936691943,Hold,1045.7459366919438,1047.8405699913553
Hold,2018-09-21 18:00:00,6739.98,1051.461912775566,Hold,1051.4619127755668,1053.5679951979662
Hold,2018-09-21 19:00:00,6749.13,1052.889346759331,Hold,1052.8893467593318,1054.998288337718
Hold,2018-09-21 20:00:00,6708.0,1046.4729139995218,Hold,1046.472913999523,1048.5690034373927
Hold,2018-09-21 21:00:00,6727.97,1049.5883081695533,Hold,1049.5883081695545,1051.690637754424
Hold,2018-09-21 22:00:00,6737.86,1051.1311849017318,Hold,1051.131184901733,1053.2366048748765
Hold,2018-09-21 23:00:00,6759.02,1054.4322234915098,Hold,1054.432223491511,1056.5442554581703
Hold,2018-09-22 00:00:00,6802.95,1061.2854666507224,Hold,1061.2854666507235,1063.4112256908782
Hold,2018-09-22 01:00:00,6771.99,1056.4555916630322,Hold,1056.4555916630334,1058.5716764442438
Hold,2018-09-22 02:00:00,6739.91,1051.4509925155808,Hold,1051.450992515582,1053.5570530646564
Hold,2018-09-22 03:00:00,6738.15,1051.176425978813,Hold,1051.1764259788142,1053.2819365700157
Hold,2018-09-22 04:00:00,6753.85,1053.6256842897542,Hold,1053.625684289755,1055.736100755163
Hold,2018-09-22 05:00:00,6742.41,1051.8410018007623,Hold,1051.841001800763,1053.9478435399985
Hold,2018-09-22 06:00:00,6728.89,1049.7318315865,Hold,1049.7318315865007,1051.8344486493495
Hold,2018-09-22 07:00:00,6718.57,1048.12187325727,Hold,1048.1218732572706,1050.221265567138
Hold,2018-09-22 08:00:00,6647.63,1037.0549697809543,Hold,1037.0549697809547,1039.1321950388365
Hold,2018-09-22 09:00:00,6694.99,1044.4433056794362,Hold,1044.4433056794367,1046.5353298037132
Hold,2018-09-22 10:00:00,6697.99,1044.911316821654,Hold,1044.9113168216545,1047.0042783741233
Hold,2018-09-22 11:00:00,6666.78,1040.0424409054458,Hold,1040.0424409054463,1042.125650079955
Hold,2018-09-22 12:00:00,6685.0,1042.8848285758502,Hold,1042.8848285758504,1044.9737310642465
Hold,2018-09-22 13:00:00,6692.51,1044.056416468536,Hold,1044.0564164685363,1046.1476656521738
Hold,2018-09-22 14:00:00,6671.6,1040.7943788072762,Hold,1040.7943788072766,1042.879094116414
Hold,2018-09-22 15:00:00,6685.21,1042.9175893558054,Hold,1042.9175893558058,1045.0065574641753
Hold,2018-09-22 16:00:00,6674.4,1041.2311892066798,Hold,1041.23118920668,1043.316779448797
Hold,2018-09-22 17:00:00,6685.0,1042.8848285758502,Hold,1042.8848285758504,1044.9737310642465
Hold,2018-09-22 18:00:00,6741.98,1051.7739202037114,Hold,1051.773920203712,1053.8806275782392
Hold,2018-09-22 19:00:00,6725.54,1049.2092191443564,Hold,1049.209219144357,1051.310789412391
Hold,2018-09-22 20:00:00,6721.9,1048.6413656251318,Hold,1048.6413656251323,1050.7417984802933
Hold,2018-09-22 21:00:00,6702.7,1045.6460943149366,Hold,1045.6460943149373,1047.7405276296674
Hold,2018-09-22 22:00:00,6709.17,1046.6554383449868,Hold,1046.6554383449875,1048.7518933798524
Hold,2018-09-22 23:00:00,6723.05,1048.8207698963154,Hold,1048.820769896316,1050.9215620989507
Hold,2018-09-23 00:00:00,6717.3,1047.9237485403976,Hold,1047.9237485403983,1050.0227440056642
Hold,2018-09-23 01:00:00,6692.59,1044.0688967656617,Hold,1044.0688967656624,1046.1601709473848
Hold,2018-09-23 02:00:00,6699.01,1045.0704406100085,Hold,1045.0704406100092,1047.163720888063
Hold,2018-09-23 03:00:00,6711.6,1047.0345273701835,Hold,1047.0345273701842,1049.1317417218847
Hold,2018-09-23 04:00:00,6728.44,1049.6616299151672,Hold,1049.6616299151679,1051.764106363788
Hold,2018-09-23 05:00:00,6729.1,1049.7645923664552,Hold,1049.7645923664559,1051.8672750492783
