Ordem,Timestamp,Valor,Saldo,Sinal,Saldo_norm,Valor_norm
Buy,2018-09-28 10:00:00,224.32,1000.0,Sinal: Compra,1000.0,1000.0
Hold,2018-09-28 11:00:00,223.93,996.2658877050642,Hold,996.2658877050642,998.2614122681883
Hold,2018-09-28 12:00:00,222.95,991.9058619383025,Hold,991.9058619383025,993.8926533523538
Hold,2018-09-28 13:00:00,225.58,1003.606747414408,Hold,1003.6067474144081,1005.6169757489301
Hold,2018-09-28 14:00:00,226.07,1005.7867602977889,Hold,1005.786760297789,1007.8013552068475
Hold,2018-09-28 15:00:00,226.18,1006.2761509450785,Hold,1006.2761509450786,1008.2917261055635
Hold,2018-09-28 16:00:00,225.15,1001.6936748840942,Hold,1001.6936748840943,1003.7000713266762
Hold,2018-09-28 17:00:00,225.24,1002.0940854136948,Hold,1002.0940854136949,1004.1012838801711
Hold,2018-09-28 18:00:00,225.23,1002.0495953548501,Hold,1002.04959535485,1004.0567047075604
Hold,2018-09-28 19:00:00,222.51,989.948299349144,Hold,989.948299349144,991.9311697574891
Hold,2018-09-28 20:00:00,220.58,981.3617179921541,Hold,981.361717992154,983.3273894436518
Hold,2018-09-28 21:00:00,220.8,982.3404992867333,Hold,982.3404992867332,984.308131241084
Hold,2018-09-28 22:00:00,221.11,983.719691110913,Hold,983.719691110913,985.6900855920111
Hold,2018-09-28 23:00:00,221.84,986.967465406562,Hold,986.967465406562,988.9443651925817
Hold,2018-09-29 00:00:00,220.74,982.0735589336662,Hold,982.073558933666,984.0406562054204
Hold,2018-09-29 01:00:00,216.54,963.3877342189728,Hold,963.3877342189727,965.3174037089868
Hold,2018-09-29 02:00:00,217.07,965.7457073377317,Hold,965.7457073377316,967.6800998573462
Hold,2018-09-29 03:00:00,217.16,966.1461178673324,Hold,966.1461178673322,968.0813124108412
Hold,2018-09-29 04:00:00,217.27,966.6355085146221,Hold,966.6355085146218,968.5716833095573
Hold,2018-09-29 05:00:00,216.94,965.1673365727531,Hold,965.1673365727529,967.1005706134089
Hold,2018-09-29 06:00:00,216.51,963.2542640424393,Hold,963.2542640424391,965.1836661911549
Hold,2018-09-29 07:00:00,220.89,982.7409098163337,Hold,982.7409098163333,984.7093437945787
Hold,2018-09-29 08:00:00,227.39,1011.6594480652639,Hold,1011.6594480652636,1013.6858059914402
Hold,2018-09-29 09:00:00,231.53,1030.0783324268903,Hold,1030.07833242689,1032.1415834522106
Hold,2018-09-29 10:00:00,230.76,1026.652597895863,Hold,1026.652597895863,1028.7089871611977
Hold,2018-09-29 11:00:00,232.39,1033.9044774875176,Hold,1033.9044774875174,1035.9753922967184
Hold,2018-09-29 12:00:00,231.72,1030.9236435449357,Hold,1030.9236435449357,1032.988587731811
Hold,2018-09-29 13:00:00,230.8,1026.830558131241,Hold,1026.830558131241,1028.88730385164
Hold,2018-09-29 14:00:00,229.19,1019.6676586572753,Hold,1019.6676586572753,1021.7100570613402
Hold,2018-09-29 15:00:00,232.24,1033.2371266048503,Hold,1033.2371266048503,1035.30670470756
Hold,2018-09-29 16:00:00,229.92,1022.9154329529243,Hold,1022.9154329529244,1024.9643366619107
Hold,2018-09-29 17:00:00,231.42,1029.5889417796004,Hold,1029.5889417796004,1031.6512125534941
Hold,2018-09-29 18:00:00,231.52,1030.0338423680457,Hold,1030.0338423680457,1032.0970042795998
Hold,2018-09-29 19:00:00,232.66,1035.1057090763195,Hold,1035.1057090763193,1037.179029957203
Hold,2018-09-29 20:00:00,231.06,1027.9872996611982,Hold,1027.987299661198,1030.046362339514
Hold,2018-09-29 21:00:00,231.73,1030.9681336037802,Hold,1030.96813360378,1033.033166904421
Hold,2018-09-29 22:00:00,232.57,1034.705298546719,Hold,1034.7052985467187,1036.7778174037076
Hold,2018-09-29 23:00:00,231.62,1030.4787429564908,Hold,1030.4787429564906,1032.542796005705
Hold,2018-09-30 00:00:00,231.3,1029.0550610734665,Hold,1029.0550610734663,1031.1162624821673
Hold,2018-09-30 01:00:00,232.53,1034.5273383113408,Hold,1034.5273383113404,1036.5995007132656
