Ordem,Timestamp,Valor,Saldo,Sinal,Saldo_norm,Valor_norm
Buy,2021-04-10 00:00:00,27.7012,1000.0,Sinal: Compra,1000.0,1000.0
Hold,2021-04-10 01:00:00,28.101,1012.4047370150031,Hold,1012.4047370150031,1014.432587757931
Hold,2021-04-10 02:00:00,27.7798,1000.8327501985475,Hold,1000.8327501985475,1002.8374222055363
Hold,2021-04-10 03:00:00,27.4569,989.1995168765253,Hold,989.1995168765253,991.1808874705789
Hold,2021-04-10 04:00:00,27.2126,980.3980337530504,Hold,980.3980337530504,982.3617749411577
Hold,2021-04-10 05:00:00,27.2,979.9440890647337,Hold,979.9440890647337,981.9069209998122
Hold,2021-04-10 06:00:00,27.0628,975.0011357919514,Hold,975.0011357919514,976.954066971828
Hold,2021-04-10 07:00:00,27.0398,974.1725065989922,Hold,974.1725065989921,976.1237780312766
Hold,2021-04-10 08:00:00,27.2167,980.5457459135345,Hold,980.5457459135343,982.5097829696907
Hold,2021-04-10 09:00:00,27.4333,988.3492712698368,Hold,988.3492712698367,990.3289388185348
Hold,2021-04-10 10:00:00,27.6385,995.742084765281,Hold,995.7420847652809,997.7365601490187
Hold,2021-04-10 11:00:00,27.8592,1003.6933222820674,Hold,1003.6933222820675,1005.703724026396
Hold,2021-04-10 12:00:00,27.5593,992.8887181530043,Hold,992.8887181530044,994.8774782319899
Hold,2021-04-10 13:00:00,27.3071,983.802618915426,Hold,983.8026189154261,985.7731795012489
Hold,2021-04-10 14:00:00,27.2307,981.0501289005531,Hold,981.0501289005532,983.0151762378524
Hold,2021-04-10 15:00:00,27.0614,974.9506974932494,Hold,974.9506974932494,976.9035276450116
Hold,2021-04-10 16:00:00,27.2326,981.1185808773629,Hold,981.1185808773629,983.0837653242459
Hold,2021-04-10 17:00:00,27.4042,987.3008752039624,Hold,987.3008752039625,989.2784428111416
Hold,2021-04-10 18:00:00,27.1882,979.5189662613894,Hold,979.5189662613896,981.4809466737902
Hold,2021-04-10 19:00:00,26.6105,958.7059625756285,Hold,958.7059625756285,960.6262544582904
Hold,2021-04-10 20:00:00,26.1338,941.5317218676448,Hold,941.5317218676449,943.4176136773857
Hold,2021-04-10 21:00:00,26.6006,958.3492917490939,Hold,958.3492917490939,960.2688692186621
Hold,2021-04-10 22:00:00,26.5404,956.1804449049141,Hold,956.180444904914,958.0956781655669
Hold,2021-04-10 23:00:00,26.8021,965.6088040265404,Hold,965.6088040265403,967.5429223282747
Hold,2021-04-11 00:00:00,26.5947,958.1367303474219,Hold,958.1367303474218,960.0558820556511
Hold,2021-04-11 01:00:00,26.4667,953.5252287518231,Hold,953.5252287518229,955.4351436038872
Hold,2021-04-11 02:00:00,26.2424,945.4442927526607,Hold,945.4442927526605,947.3380214575543
Hold,2021-04-11 03:00:00,26.2044,944.0752532164672,Hold,944.075253216467,945.966239729687
Hold,2021-04-11 04:00:00,26.0265,937.6659865457093,Hold,937.6659865457091,939.5441352721183
Hold,2021-04-11 05:00:00,25.8631,931.7791165400777,Hold,931.7791165400774,933.6454738422887
Hold,2021-04-11 06:00:00,25.978,935.918659769252,Hold,935.9186597692517,937.79330859313
Hold,2021-04-11 07:00:00,26.3355,948.7984396163343,Hold,948.7984396163339,950.6988866908297
Hold,2021-04-11 08:00:00,26.3864,950.6322320477091,Hold,950.6322320477087,952.536352215789
