Fold,Período Início,Período Fim,Saldo Inicial,Saldo Final,Retorno Estratégia (%),Retorno Buy & Hold (%),Retorno Líquido (%),Nº Trades
1,2018-03-22,2018-08-04,1000.0,707.853681312719,-29.214631868728098,42.25131577618166,-71.46594764490976,52
2,2018-08-04,2018-12-16,707.853681312719,515.5851642277877,-27.162183677334017,-66.94470210488763,39.78251842755361,52
3,2018-12-16,2019-04-29,515.5851642277877,1043.0686782791236,102.30773704308751,399.43375601224307,-297.12601896915555,44
4,2019-04-29,2019-09-10,1043.0686782791236,1156.2551193799625,10.851293252096907,-2.50781631333852,13.359109565435427,58
5,2019-09-10,2020-01-22,1156.2551193799625,1469.055477559441,27.052884172068925,-17.283649282672954,44.33653345474188,40
6,2020-01-22,2020-06-04,1469.055477559441,1463.0953179616295,-0.40571371802195033,-2.9176251990798265,2.511911481057876,42
7,2020-06-04,2020-10-16,1463.0953179616295,2060.5880174239114,40.83757853143178,81.38507885067439,-40.54750031924261,52
8,2020-10-16,2021-02-26,2060.5880174239114,2755.1541260422428,33.70717983144725,600.9705975339867,-567.2634177025395,52
9,2021-02-27,2021-07-10,2755.1541260422428,2816.7667668761724,2.236268390633946,35.667322310678486,-33.43105392004454,60
10,2021-07-10,2021-11-21,2816.7667668761724,3036.0901111107532,7.786350890450651,87.53578927276199,-79.74943838231134,66
11,2021-11-21,2022-04-04,3036.0901111107532,1572.3908908156675,-48.21000585386418,-24.33118862174061,-23.878817232123573,36
12,2022-04-04,2022-08-15,1572.3908908156675,1530.7839758969378,-2.6460923401271015,-28.056743976581856,25.410651636454755,50
13,2022-08-16,2022-12-27,1530.7839758969378,1210.722550683269,-20.908333916033715,-24.315068493150687,3.4067345771169713,30
14,2022-12-27,2023-05-10,1210.722550683269,1433.011753211168,18.36004478502945,27.294981640146883,-8.934936855117432,12
15,2023-05-10,2023-09-20,1433.011753211168,1040.2558637654524,-27.407722830298326,-31.237973059653623,3.830250229355297,24
16,2023-09-20,2024-02-01,1040.2558637654524,1312.081117066774,26.13061485828935,39.97194950911639,-13.841334650827044,22
17,2024-02-01,2024-06-14,1312.081117066774,2102.9656198942994,60.27710425370568,100.5005005005005,-40.22339624679481,22
18,2024-06-14,2024-10-25,2102.9656198942994,2765.8252807796853,31.52023288515306,-2.790697674418597,34.31093055957166,20
19,2024-10-25,2025-03-08,2765.8252807796853,3640.980943153735,31.641755119374125,1.736158578263836,29.905596541110288,26
20,2025-03-08,2025-07-20,3640.980943153735,4356.986431639307,19.66518088571439,22.946811361200425,-3.281630475486036,18
