Fold,Período Início,Período Fim,Saldo Inicial,Saldo Final,Retorno Estratégia (%),Retorno Buy & Hold (%),Retorno Líquido (%),Nº Trades
1,2018-04-22,2018-12-23,1000.0,645.743372915305,-35.425662708469495,-55.57051875543585,20.144856046966353,438
2,2018-12-23,2019-08-25,645.743372915305,565.7528808621767,-12.387350053938508,155.48593702966392,-167.87328708360243,464
3,2019-08-25,2020-04-26,565.7528808621767,248.09347054367709,-56.14808533266395,-24.58526437880456,-31.562820953859394,478
4,2020-04-26,2020-12-27,248.09347054367709,321.8471206689173,29.728170581682356,262.50696766087265,-232.7787970791903,458
5,2020-12-27,2021-08-29,321.8471206689173,237.96712455751626,-26.062061992994494,77.13211586164913,-103.19417785464361,416
6,2021-08-29,2022-04-30,237.96712455751626,74.25570907424895,-68.79581193733276,-21.45315256938411,-47.34265936794865,456
7,2022-04-30,2022-12-30,74.25570907424895,42.58954407687352,-42.644754716047686,-57.28221278260423,14.637458066556547,536
8,2022-12-30,2023-08-31,42.58954407687352,25.087469300856398,-41.09476904572195,61.856608848957016,-102.95137789467896,472
9,2023-08-31,2024-05-01,25.087469300856398,21.6934583592757,-13.528709894484415,115.58577891524311,-129.11448880972753,492
10,2024-05-01,2024-12-31,21.6934583592757,16.970285392478974,-21.772337487983737,63.140151539585496,-84.91248902756924,448
