Fold,Período Início,Período Fim,Saldo Inicial,Saldo Final,Retorno Estratégia (%),Retorno Buy & Hold (%),Retorno Líquido (%),Nº Trades
1,2018-01-07,2018-05-30,1000.0,904.0540521816816,-9.594594781831836,-54.84663093876077,45.25203615692893,12
2,2018-05-30,2018-10-19,904.0540521816816,785.4102908861319,-13.123525192905916,-11.776928559635651,-1.3465966332702646,54
3,2018-10-19,2019-03-10,785.4102908861319,748.9622131606005,-4.640641731904115,-40.434285054278035,35.793643322373924,54
4,2019-03-10,2019-07-30,748.9622131606005,1130.5170307920348,50.94446834924864,143.7015548613142,-92.75708651206557,46
5,2019-07-30,2019-12-19,1130.5170307920348,983.870303915253,-12.971651278357289,-24.594046829023313,11.622395550666024,56
6,2019-12-19,2020-05-09,983.870303915253,1026.7640185673163,4.359691971733502,38.304933200477066,-33.94524122874356,56
7,2020-05-09,2020-09-27,1026.7640185673163,1063.1640903608616,3.5451253779165084,8.355881320117826,-4.810755942201317,36
8,2020-09-27,2021-02-16,1063.1640903608616,3457.3849127623394,225.19767589110592,359.26287468007683,-134.06519878897092,28
9,2021-02-16,2021-07-07,3457.3849127623394,3777.3195147334777,9.253658763597743,-30.507352411730178,39.76101117532792,56
10,2021-07-07,2021-11-26,3777.3195147334777,6131.299444281442,62.31879300562845,61.37409589240129,0.9446971132271571,20
11,2021-11-26,2022-04-17,6131.299444281442,6252.854333578212,1.9825306266870082,-25.70302098486334,27.68555161155035,56
12,2022-04-17,2022-09-05,6252.854333578212,5188.94392371596,-17.014796013222117,-51.244558022137085,34.22976200891497,40
13,2022-09-05,2023-01-24,5188.94392371596,5783.845465336046,11.464790338186164,16.792195696365077,-5.327405358178913,24
14,2023-01-24,2023-06-15,5783.845465336046,5784.319910962991,0.00820294438689481,9.086034745035983,-9.077831800649088,34
15,2023-06-15,2023-11-03,5784.319910962991,5974.038388647639,3.2798752594073424,37.84272286746434,-34.562847608057,34
16,2023-11-03,2024-03-24,5974.038388647639,10035.984952634844,67.99331205681656,85.25018470575527,-17.25687264893871,34
17,2024-03-24,2024-08-12,10035.984952634844,10061.615325635375,0.25538472926667866,-9.437307297019522,9.6926920262862,30
18,2024-08-12,2024-12-31,10061.615325635375,12837.142480596029,27.585303801955707,55.18413107268027,-27.598827270724566,38
