Fold,Período Início,Período Fim,Saldo Inicial,Saldo Final,Retorno Estratégia (%),Retorno Buy & Hold (%),Retorno Líquido (%),Nº Trades
1,2021-01-06,2021-06-01,1000.0,2090.131736884104,109.01317368841042,1496.562846487249,-1387.5496727988386,96
2,2021-06-01,2021-10-24,2090.131736884104,5789.300452295949,176.98256287550743,508.14580031695715,-331.1632374414497,78
3,2021-10-24,2022-03-19,5789.300452295949,2797.468551696677,-51.678642786845806,-53.63739552161799,1.9587527347721831,76
4,2022-03-19,2022-08-11,2797.468551696677,2833.800080153914,1.2987287537227907,-51.993779851160724,53.292508604883515,84
5,2022-08-11,2023-01-04,2833.800080153914,2186.013386649603,-22.859294063860972,-68.28254847645428,45.42325441259331,70
6,2023-01-04,2023-05-29,2186.013386649603,2814.9396817629954,28.77046860528687,50.10940919037197,-21.3389405850851,46
7,2023-05-29,2023-10-22,2814.9396817629954,3000.606555313257,6.595767389018389,38.178294573643406,-31.582527184625015,30
8,2023-10-22,2024-03-15,3000.606555313257,6808.492144930788,126.90386158341227,547.6711362032463,-420.76727461983404,44
9,2024-03-15,2024-08-08,6808.492144930788,6651.787110105373,-2.301611450665884,-16.935701560222412,14.634090109556528,42
10,2024-08-08,2024-12-31,6651.787110105373,6656.026764009265,0.06373706544893748,22.832857513625743,-22.769120448176807,54
