Fold,Período Início,Período Fim,Saldo Inicial,Saldo Final,Retorno Estratégia (%),Retorno Buy & Hold (%),Retorno Líquido (%),Nº Trades
1,2020-11-04,2021-01-28,1000.0,1820.2746106370264,82.02746106370265,174.74573843288925,-92.71827736918661,32
2,2021-01-28,2021-04-22,1820.2746106370264,6920.173343206199,280.1719423414033,901.7000130770235,-621.5280707356203,34
3,2021-04-22,2021-07-16,6920.173343206199,13348.577692680823,92.89368966148277,-29.30391780152002,122.19760746300278,52
4,2021-07-16,2021-10-08,13348.577692680823,57619.191451125334,331.65041832672995,477.9492356504183,-146.29881732368835,24
5,2021-10-08,2022-01-01,57619.191451125334,104379.3788405267,81.15384164851572,7.336146971201584,73.81769467731414,32
6,2022-01-01,2022-03-26,104379.3788405267,116373.03138453477,11.49044253494961,-41.35518106012013,52.84562359506974,32
7,2022-03-26,2022-06-18,116373.03138453477,91611.15772953675,-21.278017217903905,-70.55483613905767,49.27681892115376,32
8,2022-06-18,2022-09-11,91611.15772953675,99803.42357370602,8.942432392738962,20.267949158364818,-11.325516765625856,34
9,2022-09-11,2022-12-04,99803.42357370602,41206.71990828673,-58.71211784848735,-61.70697012802275,2.994852279535401,38
10,2022-12-04,2023-02-26,41206.71990828673,131566.73600624513,219.2846610918596,69.86607142857142,149.41858966328817,38
11,2023-02-26,2023-05-21,131566.73600624513,142477.23687057805,8.292750276798708,-14.260793720017443,22.553543996816153,26
12,2023-05-21,2023-08-14,142477.23687057805,192679.36155709226,35.23518969708563,24.83426823049465,10.40092146659098,20
13,2023-08-14,2023-11-06,192679.36155709226,201666.87087868064,4.664489880471874,65.72481572481571,-61.060325844343836,28
14,2023-11-06,2024-01-29,201666.87087868064,293889.5637407518,45.730214615939964,150.34860557768928,-104.61839096174933,34
15,2024-01-29,2024-04-23,293889.5637407518,303543.3579165949,3.284837356238668,55.08692216515211,-51.80208480891344,30
16,2024-04-23,2024-07-16,303543.3579165949,224746.3830516448,-25.959050926293454,-0.2314963667931228,-25.72755455950033,34
17,2024-07-16,2024-10-08,224746.3830516448,261031.5253461276,16.144928252814093,-8.091524990412882,24.236453243226975,32
18,2024-10-08,2024-12-31,261031.5253461276,311230.9544752806,19.231174879198438,32.07060136737826,-12.839426488179821,24
